user_id,item_id,time,type,cate,brand
266079,138778,2016/1/31 23:59,1,8,403
266079,138778,2016/1/31 23:59,6,8,403
200719,61226,2016/1/31 23:59,1,8,30
200719,61226,2016/1/31 23:59,6,8,30
263587,72348,2016/1/31 23:59,1,5,159
296130,103126,2016/1/31 23:59,1,4,174
296130,103126,2016/1/31 23:59,6,4,174
296130,103126,2016/1/31 23:59,6,4,174
217892,137328,2016/1/31 23:59,6,6,159
283139,4732,2016/1/31 23:59,1,6,375
217892,137328,2016/1/31 23:59,6,6,159
243907,27659,2016/1/31 23:59,6,4,752
243907,27659,2016/1/31 23:59,6,4,752
209278,6998,2016/1/31 23:59,6,8,545
209278,6998,2016/1/31 23:59,1,8,545
266079,138778,2016/1/31 23:59,6,8,403
263587,127189,2016/1/31 23:59,1,5,159
200719,61226,2016/1/31 23:59,6,8,30
209278,24679,2016/1/31 23:59,1,8,658
209278,24679,2016/1/31 23:59,6,8,658
217567,22387,2016/1/31 23:59,1,8,30
217567,22387,2016/1/31 23:59,6,8,30
207684,4732,2016/1/31 23:59,1,6,375
207684,4732,2016/1/31 23:59,1,6,375
207684,4732,2016/1/31 23:59,1,6,375
207684,4732,2016/1/31 23:59,1,6,375
245959,145895,2016/1/31 23:59,1,8,693
245959,145895,2016/1/31 23:59,6,8,693
245959,145895,2016/1/31 23:59,6,8,693
272629,107774,2016/2/1 0:00,1,10,36
272629,107774,2016/2/1 0:00,1,10,36
272629,107774,2016/2/1 0:00,6,10,36
272629,107774,2016/2/1 0:00,1,10,36
272629,107774,2016/2/1 0:00,6,10,36
272629,107774,2016/2/1 0:00,6,10,36
272629,107774,2016/2/1 0:00,1,10,36
284046,87598,2016/2/1 0:00,1,9,78
208720,153817,2016/2/1 0:00,3,6,165
284046,87598,2016/2/1 0:00,1,9,78
284046,87598,2016/2/1 0:00,6,9,78
202552,4732,2016/2/1 0:00,6,6,375
200719,123773,2016/2/1 0:00,6,8,693
202552,4732,2016/2/1 0:00,6,6,375
200719,123773,2016/2/1 0:00,1,8,693
200719,123773,2016/2/1 0:00,6,8,693
214894,41958,2016/2/1 0:00,6,6,269
214894,41958,2016/2/1 0:00,1,6,269
214894,41958,2016/2/1 0:00,1,6,269
214894,41958,2016/2/1 0:00,6,6,269
214894,41958,2016/2/1 0:00,6,6,269
269489,126791,2016/2/1 0:00,6,5,479
236628,91145,2016/2/1 0:00,6,9,640
269489,126791,2016/2/1 0:00,1,5,479
269489,126791,2016/2/1 0:00,6,5,479
236628,91145,2016/2/1 0:00,1,9,640
269489,126791,2016/2/1 0:00,1,5,479
236628,91145,2016/2/1 0:00,6,9,640
269489,126791,2016/2/1 0:00,6,5,479
236628,91145,2016/2/1 0:00,6,9,640
236628,91145,2016/2/1 0:00,1,9,640
243907,27659,2016/2/1 0:00,6,4,752
236628,91145,2016/2/1 0:00,6,9,640
263755,13931,2016/2/1 0:00,6,5,159
263755,13931,2016/2/1 0:00,6,5,159
263755,13931,2016/2/1 0:00,6,5,159
269489,126791,2016/2/1 0:00,2,5,479
213609,162108,2016/2/1 0:00,6,4,306
213609,162108,2016/2/1 0:00,6,4,306
213609,162108,2016/2/1 0:00,6,4,306
266079,151327,2016/2/1 0:00,1,8,403
266079,151327,2016/2/1 0:00,6,8,403
225935,165290,2016/2/1 0:00,1,4,885
247689,9112,2016/2/1 0:00,6,5,78
225935,165290,2016/2/1 0:00,6,4,885
225935,165290,2016/2/1 0:00,6,4,885
225935,165290,2016/2/1 0:00,1,4,885
247689,9112,2016/2/1 0:00,1,5,78
241219,11261,2016/2/1 0:00,6,4,174
241219,11261,2016/2/1 0:00,6,4,174
224078,136001,2016/2/1 0:00,1,7,24
241219,11261,2016/2/1 0:00,6,4,174
224078,136001,2016/2/1 0:00,1,7,24
241219,11261,2016/2/1 0:00,6,4,174
224078,136001,2016/2/1 0:00,6,7,24
224078,136001,2016/2/1 0:00,6,7,24
241219,11261,2016/2/1 0:00,6,4,174
224078,136001,2016/2/1 0:00,6,7,24
224078,136001,2016/2/1 0:00,6,7,24
241219,11261,2016/2/1 0:00,6,4,174
241219,11261,2016/2/1 0:00,1,4,174
241219,11261,2016/2/1 0:00,1,4,174
241219,11261,2016/2/1 0:00,6,4,174
241219,11261,2016/2/1 0:00,6,4,174
294092,115863,2016/2/1 0:00,1,8,124
294092,115863,2016/2/1 0:00,6,8,124
259786,157850,2016/2/1 0:00,1,7,118
294092,115863,2016/2/1 0:00,6,8,124
259786,157850,2016/2/1 0:00,6,7,118
294092,115863,2016/2/1 0:00,6,8,124
259786,157850,2016/2/1 0:00,6,7,118
294092,115863,2016/2/1 0:00,6,8,124
259786,157850,2016/2/1 0:00,1,7,118
294092,115863,2016/2/1 0:00,1,8,124
266079,5825,2016/2/1 0:00,6,8,885
266079,5825,2016/2/1 0:00,1,8,885
221290,66968,2016/2/1 0:00,1,4,231
221290,66968,2016/2/1 0:00,1,4,231
237361,91043,2016/2/1 0:00,1,5,306
237361,91043,2016/2/1 0:00,1,5,306
237361,91043,2016/2/1 0:00,6,5,306
237361,91043,2016/2/1 0:00,6,5,306
237361,91043,2016/2/1 0:00,6,5,306
261519,37368,2016/2/1 0:00,6,9,95
261519,37368,2016/2/1 0:00,1,9,95
261519,37368,2016/2/1 0:00,1,9,95
261519,37368,2016/2/1 0:00,6,9,95
261519,37368,2016/2/1 0:00,6,9,95
261519,37368,2016/2/1 0:00,6,9,95
227292,104317,2016/2/1 0:00,6,4,885
269489,126791,2016/2/1 0:00,6,5,479
269489,126791,2016/2/1 0:00,6,5,479
269489,126791,2016/2/1 0:00,1,5,479
269489,126791,2016/2/1 0:00,1,5,479
266079,5825,2016/2/1 0:00,6,8,885
269489,126791,2016/2/1 0:00,6,5,479
269489,126791,2016/2/1 0:00,6,5,479
227292,104317,2016/2/1 0:00,6,4,885
273959,102034,2016/2/1 0:00,6,5,78
218201,89434,2016/2/1 0:00,6,5,159
273959,102034,2016/2/1 0:00,1,5,78
247689,9112,2016/2/1 0:00,6,5,78
273959,102034,2016/2/1 0:00,1,5,78
218201,89434,2016/2/1 0:00,1,5,159
218201,89434,2016/2/1 0:00,6,5,159
273959,102034,2016/2/1 0:00,6,5,78
218201,89434,2016/2/1 0:00,1,5,159
273959,102034,2016/2/1 0:00,6,5,78
218536,15168,2016/2/1 0:00,1,6,78
218536,15168,2016/2/1 0:00,1,6,78
242679,83348,2016/2/1 0:00,1,7,484
242679,83348,2016/2/1 0:00,6,7,484
241682,143981,2016/2/1 0:00,6,4,752
241682,143981,2016/2/1 0:00,6,4,752
241682,143981,2016/2/1 0:00,6,4,752
241682,143981,2016/2/1 0:00,1,4,752
242679,83348,2016/2/1 0:00,6,7,484
242679,83348,2016/2/1 0:00,6,7,484
241682,143981,2016/2/1 0:00,1,4,752
242679,83348,2016/2/1 0:00,6,7,484
242679,83348,2016/2/1 0:00,1,7,484
282788,157381,2016/2/1 0:00,6,8,214
273959,102034,2016/2/1 0:00,2,5,78
282788,157381,2016/2/1 0:00,6,8,214
245189,122497,2016/2/1 0:00,1,4,36
245189,122497,2016/2/1 0:00,1,4,36
232807,4732,2016/2/1 0:00,1,6,375
245189,122497,2016/2/1 0:00,6,4,36
232807,4732,2016/2/1 0:00,1,6,375
245189,122497,2016/2/1 0:00,6,4,36
245189,122497,2016/2/1 0:00,6,4,36
245189,122497,2016/2/1 0:00,6,4,36
245189,122497,2016/2/1 0:00,6,4,36
245189,122497,2016/2/1 0:00,6,4,36
232807,4732,2016/2/1 0:00,6,6,375
291777,126266,2016/2/1 0:00,6,4,752
291777,126266,2016/2/1 0:00,6,4,752
291777,126266,2016/2/1 0:00,6,4,752
232807,4732,2016/2/1 0:00,1,6,375
232807,4732,2016/2/1 0:00,1,6,375
232807,4732,2016/2/1 0:00,6,6,375
232807,4732,2016/2/1 0:00,1,6,375
232807,4732,2016/2/1 0:00,6,6,375
232807,4732,2016/2/1 0:00,6,6,375
232807,4732,2016/2/1 0:00,1,6,375
232807,4732,2016/2/1 0:00,6,6,375
232807,4732,2016/2/1 0:00,6,6,375
232807,4732,2016/2/1 0:00,6,6,375
232807,4732,2016/2/1 0:00,6,6,375
232807,4732,2016/2/1 0:00,6,6,375
232807,4732,2016/2/1 0:00,6,6,375
223936,170497,2016/2/1 0:00,6,6,78
283106,146353,2016/2/1 0:00,1,6,174
272629,34199,2016/2/1 0:00,6,10,36
272629,34199,2016/2/1 0:00,6,10,36
283106,4732,2016/2/1 0:00,6,6,375
283106,4732,2016/2/1 0:00,1,6,375
283106,4732,2016/2/1 0:00,1,6,375
283106,93621,2016/2/1 0:00,1,6,375
283106,4732,2016/2/1 0:00,6,6,375
283106,146353,2016/2/1 0:00,6,6,174
283106,4732,2016/2/1 0:00,6,6,375
283106,4732,2016/2/1 0:00,6,6,375
283106,93621,2016/2/1 0:00,6,6,375
283106,93621,2016/2/1 0:00,1,6,375
283106,146353,2016/2/1 0:00,6,6,174
272629,34199,2016/2/1 0:00,6,10,36
283106,146353,2016/2/1 0:00,1,6,174
283106,146353,2016/2/1 0:00,6,6,174
283106,146353,2016/2/1 0:00,1,6,174
283106,146353,2016/2/1 0:00,6,6,174
283106,146353,2016/2/1 0:00,1,6,174
283106,146353,2016/2/1 0:00,6,6,174
272629,34199,2016/2/1 0:00,6,10,36
302306,88414,2016/2/1 0:00,6,4,519
259723,73515,2016/2/1 0:00,6,4,200
259723,73515,2016/2/1 0:00,6,4,200
259723,73515,2016/2/1 0:00,1,4,200
259723,73515,2016/2/1 0:00,1,4,200
290655,6866,2016/2/1 0:00,6,4,800
290655,6866,2016/2/1 0:00,1,4,800
290655,6866,2016/2/1 0:00,1,4,800
290655,6866,2016/2/1 0:00,6,4,800
290655,6866,2016/2/1 0:00,6,4,800
290655,6866,2016/2/1 0:00,6,4,800
283139,4732,2016/2/1 0:00,1,6,375
209278,12540,2016/2/1 0:00,6,8,545
209278,12540,2016/2/1 0:00,1,8,545
245667,4732,2016/2/1 0:00,6,6,375
235443,36692,2016/2/1 0:00,6,4,174
245667,4732,2016/2/1 0:00,6,6,375
261519,73134,2016/2/1 0:00,6,9,95
235443,36692,2016/2/1 0:00,6,4,174
261519,37368,2016/2/1 0:00,1,9,95
261519,37368,2016/2/1 0:00,6,9,95
261519,37368,2016/2/1 0:00,1,9,95
261519,37368,2016/2/1 0:00,6,9,95
261519,73134,2016/2/1 0:00,1,9,95
261519,73134,2016/2/1 0:00,6,9,95
245667,4732,2016/2/1 0:00,6,6,375
261519,73134,2016/2/1 0:00,1,9,95
235443,36692,2016/2/1 0:00,1,4,174
235443,36692,2016/2/1 0:00,1,4,174
261519,37368,2016/2/1 0:00,6,9,95
235443,36692,2016/2/1 0:00,6,4,174
244051,81131,2016/2/1 0:00,6,7,38
245667,4732,2016/2/1 0:00,1,6,375
245667,4732,2016/2/1 0:00,6,6,375
245667,4732,2016/2/1 0:00,1,6,375
244051,81131,2016/2/1 0:00,6,7,38
271680,51852,2016/2/1 0:00,6,4,306
211660,74655,2016/2/1 0:00,1,4,752
211660,61796,2016/2/1 0:00,6,4,752
211660,61796,2016/2/1 0:00,6,4,752
211660,74655,2016/2/1 0:00,6,4,752
211660,61796,2016/2/1 0:00,6,4,752
236033,129711,2016/2/1 0:00,1,7,630
211660,61796,2016/2/1 0:00,6,4,752
211660,74655,2016/2/1 0:00,6,4,752
211660,74655,2016/2/1 0:00,6,4,752
211660,74655,2016/2/1 0:00,6,4,752
211660,61796,2016/2/1 0:00,6,4,752
211660,74655,2016/2/1 0:00,1,4,752
236033,129711,2016/2/1 0:00,6,7,630
223936,170497,2016/2/1 0:00,6,6,78
200719,123773,2016/2/1 0:00,6,8,693
283994,51307,2016/2/1 0:00,6,4,752
200719,123773,2016/2/1 0:00,2,8,693
265960,149290,2016/2/1 0:00,2,9,302
301962,125188,2016/2/1 0:00,1,5,479
301962,125188,2016/2/1 0:00,6,5,479
301962,125188,2016/2/1 0:00,1,5,479
301962,125188,2016/2/1 0:00,6,5,479
302306,117882,2016/2/1 0:00,6,4,519
302306,117882,2016/2/1 0:00,6,4,519
302306,117882,2016/2/1 0:00,1,4,519
302306,117882,2016/2/1 0:00,1,4,519
302306,117882,2016/2/1 0:00,6,4,519
241219,11261,2016/2/1 0:00,6,4,174
241219,11261,2016/2/1 0:00,6,4,174
241219,11261,2016/2/1 0:00,1,4,174
