user_id,order_id,category_id,price,finish_time,finish_time_hour
200528,"2294359932054536986	","2268105426648171008	",162.01,2020/4/24,11
200528,"2294359932054536986	","2268105426648171008	",162.01,2020/4/24,11
201808,"2294444024058086220	","2268105430162997760	",77.52,2020/4/24,14
201808,"2294444024058086220	","2268105430162997760	",77.52,2020/4/24,14
201808,"2297951447913857849	","2268105430162997760	",77.52,2020/4/29,10
201808,"2297951447913857849	","2268105430162997760	",203.68,2020/4/29,10
200859,"2294584263154074236	","2268105471367840000	",217.57,2020/4/24,19
200859,"2305871509291270321	","2268105442636858112	",50.9,2020/5/10,9
202291,"2295716521449619559	","2268105442636858112	",39.33,2020/4/26,8
201974,"2295740594749702229	","2268105428166509056	",1387.01,2020/4/26,9
201974,"2295740594749702229	","2268105428166509056	",1387.01,2020/4/26,9
201974,"2295740594749702229	","2268105428166509056	",1387.01,2020/4/26,9
201974,"2295740594749702229	","2268105428166509056	",1387.01,2020/4/26,9
202318,"2295902490203259134	","2268105393848713984	",462.94,2020/4/26,14
201677,"2296164324487463110	","2268105402447037440	",30.07,2020/4/26,23
202377,"2296400480990920715	","2374498914000592384	",416.64,2020/4/27,7
202436,"2296628237930857206	","2268105410021949440	",91.41,2020/4/27,14
202436,"2296628237930857206	","2268105410021949440	",91.41,2020/4/27,14
202436,"2296628237930857206	","2268105410021949440	",91.41,2020/4/27,14
202449,"2296972701060825130	","2268105402774193152	",23.13,2020/4/28,2
200863,"2297016008231092565	","2268105407220155392	",509.24,2020/4/28,3
201791,"2297034737199350540	","2268105635507732480	",6.94,2020/4/28,4
201791,"2297034737199350540	","2268105635507732480	",6.94,2020/4/28,4
201791,"2307856137350808040	","2268105635507732480	",4.63,2020/5/13,2
200750,"2297174044555871159	","2268105409225031680	",254.61,2020/4/28,9
200750,"2297174044555871159	","2268105409225031680	",254.61,2020/4/28,9
202381,"2297252054407578606	","2268105407933187072	",164.33,2020/4/28,11
202381,"2297252054407578606	","2268105407933187072	",164.33,2020/4/28,11
202381,"2297252054407578606	","2268105407933187072	",164.33,2020/4/28,11
200426,"2297729407910937541	","2268105427528974848	",0.02,2020/4/29,3
200426,"2297729407910937541	","2268105427528974848	",0.02,2020/4/29,3
200426,"2298656722245386626	","2268105427075990016	",0.23,2020/4/30,10
200426,"2298656722245386626	","2268105427260539392	",0.23,2020/4/30,10
200426,"2301647209499722033	","2268105428166509056	",104.14,2020/5/4,13
200426,"2302839811741843578	","2268105393035019008	",69.42,2020/5/6,4
200426,"2303251336734441788	","2268105427260539392	",0.02,2020/5/6,18
200426,"2303251336734441788	","2268105427260539392	",0.02,2020/5/6,18
200426,"2303251336734441788	","2268105427260539392	",0.02,2020/5/6,18
200426,"2303251336734441788	","2268105427528974848	",2.29,2020/5/6,18
202559,"2297770405059888020	","2268105428166509056	",300.9,2020/4/29,4
202534,"2297817716758675935	","2268105442242593536	",6.23,2020/4/29,6
202534,"2297817716758675935	","2268105442242593536	",6.23,2020/4/29,6
201753,"2297818341995184662	","2268105438778098432	",7.85,2020/4/29,6
202628,"2297896107595793042	","2268105428166509056	",300.9,2020/4/29,8
204170,"2297947579247231353	","2268105409938063360	",49.98,2020/4/29,10
204170,"2310222112494715269	","2268105428166509056	",277.52,2020/5/16,9
200315,"2297988436574864215	","2268105428166509056	",115.72,2020/4/29,11
200315,"2297988436574864215	","2268105428594328064	",317.11,2020/4/29,11
201891,"2297989017720849297	","2374498914000592384	",162.01,2020/4/29,12
201891,"2297989017720849297	","2374498914000592384	",162.01,2020/4/29,12
200324,"2297991320922226852	","2268105442242593536	",9.24,2020/4/29,12
200324,"2297991320922226852	","2268105440044778240	",21.97,2020/4/29,12
200324,"2299293504800555880	","2268105635507732480	",4.63,2020/5/1,7
200324,"2299293504800555880	","2268105635507732480	",4.63,2020/5/1,7
200324,"2304508754915229868	","2268105430162997760	",34.7,2020/5/8,11
200324,"2304508754915229868	","2268105453533660160	",11.55,2020/5/8,11
200324,"2305823978339435223	","2268105427260539392	",0.23,2020/5/10,7
200324,"2305823978339435223	","2268105535649743616	",0.23,2020/5/10,7
200324,"2305823978339435223	","2268105427075990016	",0.23,2020/5/10,7
200324,"2305823978339435223	","2268105427528974848	",2.29,2020/5/10,7
200324,"2305823978339435223	","2268105427260539392	",0.23,2020/5/10,7
200324,"2305823978339435223	","2268105427260539392	",0.02,2020/5/10,7
200324,"2310782475032330359	","2268105635381903360	",3.45,2020/5/17,3
200324,"2310782475032330359	","2268105635381903360	",0.44,2020/5/17,3
202261,"2297993149328392585	","2268105393462838016	",23.12,2020/4/29,12
200668,"2297993157859606924	","2268105428166509056	",161.78,2020/4/29,12
200668,"2298079506071552034	","2268105402556089344	",85.63,2020/4/29,15
200668,"2298094882843001272	","2268105403436893184	",25.44,2020/4/29,15
201587,"2297993489704550822	","2268105441101742848	",43.96,2020/4/29,12
202700,"2297993830969901527	","2268105445094720256	",20.81,2020/4/29,12
202679,"2297995500990759592	","2268105428166509056	",300.9,2020/4/29,12
201487,"2297997293107807087	","2268105428166509056	",254.61,2020/4/29,12
202671,"2297998653177987103	","2268105428166509056	",300.9,2020/4/29,12
201250,"2298000635255062805	","2268105402447037440	",18.5,2020/4/29,12
202703,"2298001389550305634	","2268105430162997760	",203.68,2020/4/29,12
202703,"2299423965656908610	","2268105392414262016	",9.24,2020/5/1,11
202704,"2298002125248004522	","2268105428166509056	",346.97,2020/4/29,12
